BARRIO,geometry,longitud,latitud
CHACARITA,POINT (-58.45418012355778 -34.58836865970172),-58.45418012355778,-34.58836865970172
PATERNAL,POINT (-58.468664836742356 -34.59742117689775),-58.468664836742356,-34.59742117689775
VILLA CRESPO,POINT (-58.442724948235735 -34.59882966797719),-58.442724948235735,-34.59882966797719
VILLA DEL PARQUE,POINT (-58.49067707673823 -34.604246638188656),-58.49067707673823,-34.604246638188656
ALMAGRO,POINT (-58.421744523419854 -34.60922725926522),-58.421744523419854,-34.60922725926522
CABALLITO,POINT (-58.4436030634507 -34.616825418911304),-58.4436030634507,-34.616825418911304
VILLA SANTA RITA,POINT (-58.48295678746965 -34.61619345688688),-58.48295678746965,-34.61619345688688
MONTE CASTRO,POINT (-58.506580948553925 -34.61929776178799),-58.506580948553925,-34.61929776178799
VILLA REAL,POINT (-58.526038690746745 -34.61949318964216),-58.526038690746745,-34.61949318964216
FLORES,POINT (-58.458268044559944 -34.63680311748682),-58.458268044559944,-34.63680311748682
FLORESTA,POINT (-58.483587530098646 -34.62768577638186),-58.483587530098646,-34.62768577638186
CONSTITUCION,POINT (-58.38438812018935 -34.625044114390576),-58.38438812018935,-34.625044114390576
SAN CRISTOBAL,POINT (-58.401884033984715 -34.623864504160316),-58.401884033984715,-34.623864504160316
BOEDO,POINT (-58.41883953610525 -34.62995992120693),-58.41883953610525,-34.62995992120693
VELEZ SARSFIELD,POINT (-58.49327669041597 -34.63136139129978),-58.49327669041597,-34.63136139129978
VILLA LURO,POINT (-58.50272905510565 -34.63641325781879),-58.50272905510565,-34.63641325781879
PARQUE PATRICIOS,POINT (-58.401674941202145 -34.637550453754635),-58.401674941202145,-34.637550453754635
MATADEROS,POINT (-58.501737029500845 -34.65837345114914),-58.501737029500845,-34.65837345114914
VILLA LUGANO,POINT (-58.47616702909234 -34.67499310701551),-58.47616702909234,-34.67499310701551
SAN TELMO,POINT (-58.37154103490642 -34.62152046664373),-58.37154103490642,-34.62152046664373
SAAVEDRA,POINT (-58.48874459528289 -34.55307605765024),-58.48874459528289,-34.55307605765024
COGHLAN,POINT (-58.47494432782557 -34.560623774628375),-58.47494432782557,-34.560623774628375
VILLA URQUIZA,POINT (-58.48785550169213 -34.57154052172301),-58.48785550169213,-34.57154052172301
COLEGIALES,POINT (-58.45096795442322 -34.574641555063266),-58.45096795442322,-34.574641555063266
BALVANERA,POINT (-58.40306169003013 -34.609099399629514),-58.40306169003013,-34.609099399629514
VILLA GRAL. MITRE,POINT (-58.468942916340545 -34.610028699305126),-58.468942916340545,-34.610028699305126
PARQUE CHAS,POINT (-58.479121364991585 -34.58552268757719),-58.479121364991585,-34.58552268757719
AGRONOMIA,POINT (-58.48867265990655 -34.59294471940873),-58.48867265990655,-34.59294471940873
VILLA ORTUZAR,POINT (-58.467651214359506 -34.58097342974944),-58.467651214359506,-34.58097342974944
BARRACAS,POINT (-58.38427181189788 -34.646402708033705),-58.38427181189788,-34.646402708033705
PARQUE AVELLANEDA,POINT (-58.47645527666015 -34.64864158769507),-58.47645527666015,-34.64864158769507
PARQUE CHACABUCO,POINT (-58.43769583567775 -34.635939940924224),-58.43769583567775,-34.635939940924224
NUEVA POMPEYA,POINT (-58.41888244099014 -34.650515082870896),-58.41888244099014,-34.650515082870896
PALERMO,POINT (-58.422341538890066 -34.573855002981176),-58.422341538890066,-34.573855002981176
VILLA RIACHUELO,POINT (-58.463350136950915 -34.69185761963186),-58.463350136950915,-34.69185761963186
VILLA SOLDATI,POINT (-58.446586803497446 -34.66542127811835),-58.446586803497446,-34.66542127811835
VILLA PUEYRREDON,POINT (-58.50349865812413 -34.58210303660177),-58.50349865812413,-34.58210303660177
VILLA DEVOTO,POINT (-58.51428246296466 -34.60235465015246),-58.51428246296466,-34.60235465015246
LINIERS,POINT (-58.51912811230437 -34.64379602483571),-58.51912811230437,-34.64379602483571
VERSALLES,POINT (-58.52241723804633 -34.63012294468732),-58.52241723804633,-34.63012294468732
PUERTO MADERO,POINT (-58.35568897623177 -34.60904966401455),-58.35568897623177,-34.60904966401455
MONSERRAT,POINT (-58.37964846555177 -34.61268563378537),-58.37964846555177,-34.61268563378537
SAN NICOLAS,POINT (-58.38051516917411 -34.60366599384559),-58.38051516917411,-34.60366599384559
BELGRANO,POINT (-58.45024143097025 -34.554762628331254),-58.45024143097025,-34.554762628331254
RECOLETA,POINT (-58.3949293444602 -34.585778187071405),-58.3949293444602,-34.585778187071405
RETIRO,POINT (-58.375993612803285 -34.588396591278425),-58.375993612803285,-34.588396591278425
NUÃ‘EZ,POINT (-58.46275078284169 -34.543481421603374),-58.46275078284169,-34.543481421603374
BOCA,POINT (-58.35681932013996 -34.63107047746592),-58.35681932013996,-34.63107047746592
