,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,anio_construccion,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP,geometry
0,896,16003,"OBLIGADO RAFAEL, Av.Costanera",6182,6200,6181,6199,"COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,56.38,DOBLE,2,,Ciclovías,,,2014.0,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,13,13,13,PALERMO,PALERMO,PALERMO,"MULTILINESTRING ((-58.4292181631792 -34.55084705108578, -58.4296918723879 -34.550523454956256))"
1,1724,16003,"OBLIGADO RAFAEL, Av.Costanera",4202,4500,4201,4499,"COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,297.26,DOBLE,2,,Ciclovías,,,2014.0,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,14,14,14,PALERMO,PALERMO,PALERMO,"MULTILINESTRING ((-58.411172396524414 -34.557682324602276, -58.41210970058667 -34.557032799213275, -58.412794616763165 -34.55660377816003, -58.41377102645728 -34.556073854836114))"
2,1828,16003,"OBLIGADO RAFAEL, Av.Costanera",3452,4200,3451,4199,"COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,175.93,DOBLE,2,,Ciclovías,,,2014.0,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,14,14,14,PALERMO,PALERMO,PALERMO,"MULTILINESTRING ((-58.4097807451194 -34.55878480091211, -58.410588342459775 -34.55814119299049, -58.411172396524414 -34.557682324602276))"
3,1997,21059,TRONADOR,0,0,0,0,ESTOMBA Y PLAZA,TRONADOR,CALLE,9.4,DOBLE,2,corrección altura 8-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda noreste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,2018.0,Ciclovía,VÍA LOCAL,,12,12,12,COGHLAN,COGHLAN,COGHLAN,"MULTILINESTRING ((-58.48099387003406 -34.5604794780342, -58.48104561012322 -34.560406299896606))"
4,4846,20075,SARMIENTO AV.,2602,3100,2601,3099,,AV. SARMIENTO,AVENIDA,488.48,DOBLE,2,corrección numeración 22-1,Ciclovías,Mano izquierda,Vereda,2010.0,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,14,14,14,PALERMO,PALERMO,PALERMO,"MULTILINESTRING ((-58.42058658574377 -34.58079398621544, -58.4172704158941 -34.57734940180585))"
5,7367,21059,TRONADOR,0,0,0,0,ESTOMBA Y PLAZA,TRONADOR,CALLE,181.42,DOBLE,2,s/n corrección 10-1,Bicisendas,,,,Bicisenda,VÍA LOCAL,,15,15,15,PATERNAL,PATERNAL,PATERNAL,"MULTILINESTRING ((-58.47433409974398 -34.592305867133305, -58.47302623547828 -34.59125604411339, -58.47299446645432 -34.59120505985935, -58.47301566225953 -34.59113660630565))"
6,8300,1087,ANTARTIDA ARGENTINA AV.,852,930,851,929,,AV.ANTARTIDA ARGENTINA,AVENIDA,312.65,CRECIENTE,1,"Alturas asig. según puertas ofic encontradas. Sin altura en carteles, pero se asignaron según esas puertas y en concordancia con calles contiguas. Antes Doble: Modif. desde 24/01/2018 Obras Paseo del Bajo. Sent Norte R 401/SECTRANS/19 -BO 5685 26/08/2019",Ciclovías,Mano izquierda,Vereda,20192010.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,1,1,1,RETIRO,RETIRO,RETIRO,"MULTILINESTRING ((-58.36862268592279 -34.59691803625242, -58.36958625841523 -34.594214723244974))"
7,27742,21059,TRONADOR,0,0,0,0,ESTOMBA Y PLAZA,TRONADOR,CALLE,16.0,CRECIENTE,1,,Ciclovías Proyectadas,,,2019.0,Ciclovía proyectada,VÍA LOCAL,,15,15,15,VILLA ORTUZAR,VILLA ORTUZAR,VILLA ORTUZAR,"MULTILINESTRING ((-58.4671220071903 -34.57732090171676, -58.46722101747877 -34.577202169950965))"
8,27809,7109,GUTENBERG,0,0,311,399,LA VIA DEL TRANVIA REAL,GUTENBERG,CALLE,376.2499785428834,DOBLE,2,,Bicisendas,,,,Bicisenda,VÍA LOCAL,,15,15,15,PATERNAL,PATERNAL,PATERNAL,"MULTILINESTRING ((-58.47023491058214 -34.59220098423238, -58.47433409974398 -34.592305867133305))"
9,180,19047,"RIVADAVIA MARTIN, COMODORO",0,0,1601,1699,,COMODORO MARTIN RIVADAVIA,CALLE,108.17,DECRECIENTE,-1,,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,13,13,13,NUÑEZ,NUÑEZ,NUÑEZ,"MULTILINESTRING ((-58.46318234066247 -34.54158479247797, -58.46372050785399 -34.542452236311775))"
