X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry,barrio
-58.4817117081919,-34.5441061601611,R001,600.0,DEHEZA@PINTO,Barrios,POINT (-58.4817117081919 -34.5441061601611),SAAVEDRA
-58.4801052375591,-34.5445409275037,R001,601.0,ARIAS@QUINTANA,Barrios,POINT (-58.4801052375591 -34.5445409275037),SAAVEDRA
-58.4787037952619,-34.5450245927835,R001,602.0,RAMALLO@ZAPIOLA,Barrios,POINT (-58.4787037952619 -34.5450245927835),SAAVEDRA
-58.4772946790499,-34.545521201106,R001,603.0,CORREA@CONESA,Barrios,POINT (-58.4772946790499 -34.545521201106),SAAVEDRA
-58.475888864249,-34.546015258052,R001,604.0,RUIZ HUIDOBRO@CRAMER,Barrios,POINT (-58.475888864249 -34.546015258052),SAAVEDRA
-58.4682601762744,-34.5397992790837,R002,605.0,GRECIA@ARIAS,Barrios,POINT (-58.4682601762744 -34.5397992790837),NUÃ‘EZ
-58.4686533706577,-34.5410024172755,R002,606.0,RAMALLO@O'HIGGINS,Barrios,POINT (-58.4686533706577 -34.5410024172755),NUÃ‘EZ
-58.4690110894849,-34.5422552052379,R002,607.0,CORREA@ARCOS,Barrios,POINT (-58.4690110894849 -34.5422552052379),NUÃ‘EZ
-58.4693652442988,-34.5435015846315,R002,608.0,RUIZ HUIDOBRO@CUBA,Barrios,POINT (-58.4693652442988 -34.5435015846315),NUÃ‘EZ
-58.469782131321,-34.5446833072679,R002,609.0,BESARES@VUELTA DE OBLIGADO,Barrios,POINT (-58.469782131321 -34.5446833072679),NUÃ‘EZ
-58.4604773481014,-34.5450934412806,R003,610.0,"LARRALDE, CRISOLOGO@ARRIBEÃƒÂOS",Barrios,POINT (-58.4604773481014 -34.5450934412806),NUÃ‘EZ
-58.460851047881,-34.5463660422066,R003,611.0,NUNEZ@11 DE SEPTIEMBRE DE 1888,Barrios,POINT (-58.460851047881 -34.5463660422066),NUÃ‘EZ
-58.4612171843624,-34.5476099088945,R003,612.0,AZURDUY JUANA@3 DE FEBRERO,Barrios,POINT (-58.4612171843624 -34.5476099088945),NUÃ‘EZ
-58.462027380881,-34.5490871685348,R003,613.0,"PEDRAZA, MANUELA@GRECIA",Barrios,POINT (-58.462027380881 -34.5490871685348),NUÃ‘EZ
-58.4628824634614,-34.5505716056641,R003,614.0,CAMPOS SALLES@ARCOS,Barrios,POINT (-58.4628824634614 -34.5505716056641),NUÃ‘EZ
-58.471016906763,-34.5521032949717,R004,615.0,NUNEZ@VIDAL,Barrios,POINT (-58.471016906763 -34.5521032949717),NUÃ‘EZ
