centroide,cantidad_ciclistas,año,turno,barrios
520,19,2013-01-01,mañana,PUERTO MADERO
520,30,2013-01-01,tarde,PUERTO MADERO
520,10,2014-01-01,mañana,PUERTO MADERO
520,17,2014-01-01,tarde,PUERTO MADERO
520,9,2015-01-01,mañana,PUERTO MADERO
520,21,2015-01-01,tarde,PUERTO MADERO
520,35,2016-01-01,mañana,PUERTO MADERO
520,21,2016-01-01,tarde,PUERTO MADERO
520,23,2017-01-01,mañana,PUERTO MADERO
520,16,2017-01-01,tarde,PUERTO MADERO
520,22,2018-01-01,mañana,PUERTO MADERO
520,30,2018-01-01,tarde,PUERTO MADERO
340,7,2013-01-01,mañana,BOCA
340,32,2013-01-01,tarde,BOCA
340,11,2014-01-01,mañana,BOCA
340,23,2014-01-01,tarde,BOCA
340,11,2015-01-01,mañana,BOCA
340,28,2015-01-01,tarde,BOCA
340,9,2016-01-01,mañana,BOCA
340,7,2016-01-01,tarde,BOCA
340,11,2017-01-01,mañana,BOCA
340,12,2017-01-01,tarde,BOCA
340,8,2018-01-01,mañana,BOCA
340,14,2018-01-01,tarde,BOCA
341,30,2013-01-01,mañana,PUERTO MADERO
341,33,2013-01-01,tarde,PUERTO MADERO
341,7,2014-01-01,mañana,PUERTO MADERO
341,66,2014-01-01,tarde,PUERTO MADERO
341,8,2015-01-01,mañana,PUERTO MADERO
341,68,2015-01-01,tarde,PUERTO MADERO
341,6,2016-01-01,mañana,PUERTO MADERO
341,46,2016-01-01,tarde,PUERTO MADERO
341,17,2017-01-01,mañana,PUERTO MADERO
341,33,2017-01-01,tarde,PUERTO MADERO
341,19,2018-01-01,mañana,PUERTO MADERO
341,47,2018-01-01,tarde,PUERTO MADERO
342,14,2013-01-01,mañana,PUERTO MADERO
342,28,2013-01-01,tarde,PUERTO MADERO
342,6,2014-01-01,mañana,PUERTO MADERO
342,21,2014-01-01,tarde,PUERTO MADERO
342,5,2015-01-01,mañana,PUERTO MADERO
342,24,2015-01-01,tarde,PUERTO MADERO
342,23,2016-01-01,mañana,PUERTO MADERO
342,21,2016-01-01,tarde,PUERTO MADERO
342,6,2017-01-01,mañana,PUERTO MADERO
342,21,2017-01-01,tarde,PUERTO MADERO
342,10,2018-01-01,mañana,PUERTO MADERO
342,19,2018-01-01,tarde,PUERTO MADERO
515,42,2013-01-01,mañana,PUERTO MADERO
515,52,2013-01-01,tarde,PUERTO MADERO
515,34,2014-01-01,mañana,PUERTO MADERO
515,24,2014-01-01,tarde,PUERTO MADERO
515,36,2015-01-01,mañana,PUERTO MADERO
515,24,2015-01-01,tarde,PUERTO MADERO
515,54,2016-01-01,mañana,PUERTO MADERO
515,40,2016-01-01,tarde,PUERTO MADERO
515,33,2017-01-01,mañana,PUERTO MADERO
515,41,2017-01-01,tarde,PUERTO MADERO
515,45,2018-01-01,mañana,PUERTO MADERO
515,48,2018-01-01,tarde,PUERTO MADERO
517,12,2013-01-01,mañana,PUERTO MADERO
517,35,2013-01-01,tarde,PUERTO MADERO
517,10,2014-01-01,mañana,PUERTO MADERO
517,25,2014-01-01,tarde,PUERTO MADERO
517,29,2015-01-01,mañana,PUERTO MADERO
517,45,2015-01-01,tarde,PUERTO MADERO
517,20,2016-01-01,mañana,PUERTO MADERO
517,26,2016-01-01,tarde,PUERTO MADERO
517,30,2017-01-01,mañana,PUERTO MADERO
517,32,2017-01-01,tarde,PUERTO MADERO
517,64,2018-01-01,mañana,PUERTO MADERO
517,62,2018-01-01,tarde,PUERTO MADERO
511,33,2013-01-01,mañana,PUERTO MADERO
511,45,2013-01-01,tarde,PUERTO MADERO
511,39,2014-01-01,mañana,PUERTO MADERO
511,50,2014-01-01,tarde,PUERTO MADERO
511,39,2015-01-01,mañana,PUERTO MADERO
511,33,2015-01-01,tarde,PUERTO MADERO
511,26,2016-01-01,mañana,PUERTO MADERO
511,20,2016-01-01,tarde,PUERTO MADERO
511,43,2017-01-01,mañana,PUERTO MADERO
511,29,2017-01-01,tarde,PUERTO MADERO
511,73,2018-01-01,mañana,PUERTO MADERO
511,40,2018-01-01,tarde,PUERTO MADERO
512,36,2013-01-01,mañana,PUERTO MADERO
512,58,2013-01-01,tarde,PUERTO MADERO
512,14,2014-01-01,mañana,PUERTO MADERO
512,36,2014-01-01,tarde,PUERTO MADERO
512,25,2015-01-01,mañana,PUERTO MADERO
512,57,2015-01-01,tarde,PUERTO MADERO
512,25,2016-01-01,mañana,PUERTO MADERO
512,64,2016-01-01,tarde,PUERTO MADERO
512,29,2017-01-01,mañana,PUERTO MADERO
512,33,2017-01-01,tarde,PUERTO MADERO
512,45,2018-01-01,mañana,PUERTO MADERO
512,75,2018-01-01,tarde,PUERTO MADERO
513,14,2013-01-01,mañana,PUERTO MADERO
513,27,2013-01-01,tarde,PUERTO MADERO
513,0,2014-01-01,mañana,PUERTO MADERO
513,12,2014-01-01,tarde,PUERTO MADERO
513,13,2015-01-01,mañana,PUERTO MADERO
513,14,2015-01-01,tarde,PUERTO MADERO
513,23,2016-01-01,mañana,PUERTO MADERO
513,13,2016-01-01,tarde,PUERTO MADERO
513,7,2017-01-01,mañana,PUERTO MADERO
513,8,2017-01-01,tarde,PUERTO MADERO
513,16,2018-01-01,mañana,PUERTO MADERO
513,14,2018-01-01,tarde,PUERTO MADERO
343,11,2013-01-01,mañana,PUERTO MADERO
343,47,2013-01-01,tarde,PUERTO MADERO
343,19,2014-01-01,mañana,PUERTO MADERO
343,5,2014-01-01,tarde,PUERTO MADERO
343,11,2015-01-01,mañana,PUERTO MADERO
343,6,2015-01-01,tarde,PUERTO MADERO
343,15,2016-01-01,mañana,PUERTO MADERO
343,14,2016-01-01,tarde,PUERTO MADERO
343,15,2017-01-01,mañana,PUERTO MADERO
343,9,2017-01-01,tarde,PUERTO MADERO
343,9,2018-01-01,mañana,PUERTO MADERO
343,29,2018-01-01,tarde,PUERTO MADERO
510,27,2013-01-01,mañana,PUERTO MADERO
510,23,2013-01-01,tarde,PUERTO MADERO
510,18,2014-01-01,mañana,PUERTO MADERO
510,38,2014-01-01,tarde,PUERTO MADERO
510,25,2015-01-01,mañana,PUERTO MADERO
510,47,2015-01-01,tarde,PUERTO MADERO
510,24,2016-01-01,mañana,PUERTO MADERO
510,25,2016-01-01,tarde,PUERTO MADERO
510,40,2017-01-01,mañana,PUERTO MADERO
510,39,2017-01-01,tarde,PUERTO MADERO
510,61,2018-01-01,mañana,PUERTO MADERO
510,39,2018-01-01,tarde,PUERTO MADERO
514,30,2013-01-01,mañana,PUERTO MADERO
514,24,2013-01-01,tarde,PUERTO MADERO
514,41,2014-01-01,mañana,PUERTO MADERO
514,41,2014-01-01,tarde,PUERTO MADERO
514,24,2015-01-01,mañana,PUERTO MADERO
514,45,2015-01-01,tarde,PUERTO MADERO
514,29,2016-01-01,mañana,PUERTO MADERO
514,33,2016-01-01,tarde,PUERTO MADERO
514,31,2017-01-01,mañana,PUERTO MADERO
514,58,2017-01-01,tarde,PUERTO MADERO
514,45,2018-01-01,mañana,PUERTO MADERO
514,56,2018-01-01,tarde,PUERTO MADERO
339,12,2013-01-01,mañana,PUERTO MADERO
339,15,2013-01-01,tarde,PUERTO MADERO
339,6,2014-01-01,mañana,PUERTO MADERO
339,24,2014-01-01,tarde,PUERTO MADERO
339,21,2015-01-01,mañana,PUERTO MADERO
339,33,2015-01-01,tarde,PUERTO MADERO
339,10,2016-01-01,mañana,PUERTO MADERO
339,18,2016-01-01,tarde,PUERTO MADERO
339,13,2017-01-01,mañana,PUERTO MADERO
339,25,2017-01-01,tarde,PUERTO MADERO
339,7,2018-01-01,mañana,PUERTO MADERO
339,42,2018-01-01,tarde,PUERTO MADERO
519,13,2013-01-01,mañana,PUERTO MADERO
519,12,2013-01-01,tarde,PUERTO MADERO
519,2,2014-01-01,mañana,PUERTO MADERO
519,0,2014-01-01,tarde,PUERTO MADERO
519,12,2015-01-01,mañana,PUERTO MADERO
519,14,2015-01-01,tarde,PUERTO MADERO
519,0,2016-01-01,mañana,PUERTO MADERO
519,0,2016-01-01,tarde,PUERTO MADERO
519,4,2017-01-01,mañana,PUERTO MADERO
519,30,2017-01-01,tarde,PUERTO MADERO
518,2,2013-01-01,mañana,PUERTO MADERO
518,8,2013-01-01,tarde,PUERTO MADERO
518,1,2014-01-01,mañana,PUERTO MADERO
518,18,2014-01-01,tarde,PUERTO MADERO
518,13,2015-01-01,mañana,PUERTO MADERO
518,11,2015-01-01,tarde,PUERTO MADERO
518,6,2016-01-01,mañana,PUERTO MADERO
518,10,2016-01-01,tarde,PUERTO MADERO
518,5,2017-01-01,mañana,PUERTO MADERO
518,17,2017-01-01,tarde,PUERTO MADERO
518,3,2018-01-01,mañana,PUERTO MADERO
518,10,2018-01-01,tarde,PUERTO MADERO
516,21,2013-01-01,mañana,PUERTO MADERO
516,12,2013-01-01,tarde,PUERTO MADERO
516,32,2014-01-01,mañana,PUERTO MADERO
516,33,2014-01-01,tarde,PUERTO MADERO
