centroide,cantidad_ciclistas,año,turno,X,Y,RECORRIDO,CRUCE,ÃREA,geometry
520,19,2013,mañana,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,30,2013,tarde,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,10,2014,mañana,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,17,2014,tarde,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,9,2015,mañana,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,21,2015,tarde,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,35,2016,mañana,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,21,2016,tarde,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,23,2017,mañana,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,16,2017,tarde,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,22,2018,mañana,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
520,30,2018,tarde,-58.3615475636747,-34.6232779871779,R001,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3615475636747 -34.6232779871779)
340,7,2013,mañana,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
340,32,2013,tarde,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
340,11,2014,mañana,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
340,23,2014,tarde,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
340,11,2015,mañana,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
340,28,2015,tarde,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
340,9,2016,mañana,-58.3576808067114,-34.6193850541142,R001,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro,POINT (-58.3576808067114 -34.6193850541142)
