X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA
-58.4817117081919,-34.5441061601611,R001,600.000000,DEHEZA@PINTO,Barrios
-58.4801052375591,-34.5445409275037,R001,601.000000,ARIAS@QUINTANA,Barrios
-58.4787037952619,-34.5450245927835,R001,602.000000,RAMALLO@ZAPIOLA,Barrios
-58.4772946790499,-34.545521201106,R001,603.000000,CORREA@CONESA,Barrios
-58.475888864249,-34.546015258052,R001,604.000000,RUIZ HUIDOBRO@CRAMER,Barrios
-58.4682601762744,-34.5397992790837,R002,605.000000,GRECIA@ARIAS,Barrios
-58.4686533706577,-34.5410024172755,R002,606.000000,RAMALLO@O'HIGGINS,Barrios
-58.4690110894849,-34.5422552052379,R002,607.000000,CORREA@ARCOS,Barrios
-58.4693652442988,-34.5435015846315,R002,608.000000,RUIZ HUIDOBRO@CUBA,Barrios
-58.469782131321,-34.5446833072679,R002,609.000000,BESARES@VUELTA DE OBLIGADO,Barrios
-58.4604773481014,-34.5450934412806,R003,610.000000,"LARRALDE, CRISOLOGO@ARRIBEÃƒÂOS",Barrios
-58.460851047881,-34.5463660422066,R003,611.000000,NUNEZ@11 DE SEPTIEMBRE DE 1888,Barrios
-58.4612171843624,-34.5476099088945,R003,612.000000,AZURDUY JUANA@3 DE FEBRERO,Barrios
-58.462027380881,-34.5490871685348,R003,613.000000,"PEDRAZA, MANUELA@GRECIA",Barrios
-58.4628824634614,-34.5505716056641,R003,614.000000,CAMPOS SALLES@ARCOS,Barrios
-58.471016906763,-34.5521032949717,R004,615.000000,NUNEZ@VIDAL,Barrios
-58.4715881489217,-34.5545590016913,R004,616.000000,"PEDRAZA, MANUELA@CONESA",Barrios
-58.4715559720789,-34.5561629506245,R004,617.000000,"TAMBORINI, JOSE PASCUAL@ZAPIOLA",Barrios
-58.4719108400552,-34.5575890451365,R004,618.000000,"IBERA@FREIRE, RAMON, CAP. GRAL.",Barrios
-58.4726340109796,-34.5593090659667,R004,619.000000,QUESADA@CONDE,Barrios
-58.4911110596195,-34.5533724443,R005,624.000000,RUIZ HUIDOBRO@MACHAIN,Barrios
-58.4926179105524,-34.5530176311825,R005,623.000000,"CORREA@ACHA, MARIANO, Gral.",Barrios
-58.4940903813035,-34.5527196426267,R005,623.000000,RAMALLO@LUGONES,Barrios
-58.4955651390305,-34.5524215641387,R005,621.000000,ARIAS@MILLER,Barrios
-58.4970386961625,-34.5521257933111,R005,620.000000,DEHEZA@VALDENEGRO,Barrios
-58.4796850275423,-34.5645821858269,R006,629.000000,"LE BRETON, TOMAS A.@PLAZA",Barrios
-58.4793149574263,-34.5628640616669,R006,628.000000,QUESADA@TRONADOR,Barrios
-58.4790194500999,-34.5614553069829,R006,627.000000,IBERA@ESTOMBA,Barrios
-58.4787906742668,-34.5599542135103,R006,626.000000,"TAMBORINI, JOSE PASCUAL@NAON, ROMULO",Barrios
-58.4786854023279,-34.5583345066565,R006,625.000000,"PEDRAZA, MANUELA@WASHINGTON",Barrios
-58.46617107728,-34.5608164600894,R007,630.000000,ROOSEVELT FRANKLIN D.@CONESA,Barrios
-58.4627622843607,-34.5613941413936,R007,631.000000,BLANCO ENCALADA@VIDAL,Barrios
-58.4610635288984,-34.5618003453691,R007,632.000000,OLAZABAL@MOLDES,Barrios
-58.4593807624826,-34.5621934273369,R007,633.000000,MENDOZA@AMENABAR,Barrios
-58.4568544418954,-34.5635659986983,R007,634.000000,ECHEVERRIA@CIUDAD DE LA PAZ,Barrios
-58.4489005518803,-34.5574026183775,R008,735.000000,JURAMENTO@MONTAÃƒÂESES,Barrios
-58.4508699529114,-34.5571372491311,R008,736.000000,MENDOZA@ARRIBEÃƒÂOS,Barrios
-58.4530774980133,-34.5570545519739,R008,737.000000,"OLAZABAL@GOLFARINI, JUAN ANGEL, Dr.",Barrios
-58.4545021113426,-34.5564935036307,R008,738.000000,BLANCO ENCALADA@3 DE FEBRERO,Barrios
-58.4562067501695,-34.5560814045993,R008,739.000000,MONROE@O'HIGGINS,Barrios
-58.4391082641746,-34.5530100022331,R009,644.000000,ECHEVERRIA@RAMSAY,Barrios
-58.4410761498482,-34.5527273255342,R009,643.000000,DRAGONES@JURAMENTO,Barrios
-58.4430035048765,-34.5524461596964,R009,642.000000,MENDOZA@HUSARES,Barrios
-58.444876875402,-34.5521927037689,R009,641.000000,OLAZABAL@CAZADORES,Barrios
-58.4468157768259,-34.5519358466055,R009,640.000000,BLANCO ENCALADA@ARTILLEROS,Barrios
-58.4809031655268,-34.5711389862606,R010,639.000000,MONROE@MILLER,Barrios
