X,Y,Status,Score,PB,TIPO,CRUCE,x_coo,y_coo
-58.4378105380404,-34.593511755429,M,100,PB45,ARTERIAS CON CICLOVIAS,SERRANO & LOYOLA,-58.4378105380,-34.5935117554
-58.4339461863528,-34.5874953144336,M,100,PB46,ARTERIAS CON CICLOVIAS,GODOY CRUZ & GORRITI,-58.4339461864,-34.5874953144
-58.4261801161481,-34.6072787919848,M,100,PB39,ARTERIAS CON CICLOVIAS,RAWSON & POTOSI,-58.4261801161,-34.6072787920
-58.4397732049481,-34.6030042667229,M,100,PB40,ARTERIAS CON CICLOVIAS,ALVAREZ JULIAN & PADILLA,-58.4397732049,-34.6030042667
-58.3893074452886,-34.60663011728,M,100,PB37,ARTERIAS CON CICLOVIAS,MONTEVIDEO & PERON JUAN DOMINGO TTE,-58.3893074453,-34.6066301173
-58.464154047301,-34.5706348897959,M,100,PB58,PUNTOS EXTERIORES,LA PAMPA & SUPERI,-58.4641540473,-34.5706348898
-58.4098636895853,-34.5772807176853,M,100,PB12,ARTERIAS CON CICLOVIAS,DEL LIBERTADOR & CASARES,-58.4098636896,-34.5772807177
-58.3916686989135,-34.5836817492378,M,81,PB36,ARTERIAS CON CICLOVIAS,"GONZALEZ, JULIO VICTOR & FIGUEROA ALCORTA, PRES. AV.",-58.3916686989,-34.5836817492
-58.4162873885626,-34.6069636569499,M,100,PB10,ARTERIAS CON CICLOVIAS,BILLINGHURST & PERON JUAN DOMINGO TTE,-58.4162873886,-34.6069636569
-58.4234758188327,-34.623147181701,M,100,PB32,ARTERIAS CON CICLOVIAS,ESTADOS UNIDOS & TREINTA Y TRES ORIENTALES,-58.4234758188,-34.6231471817
-58.3838436637601,-34.5876784442502,M,100,PB11,ARTERIAS CON CICLOVIAS,DEL LIBERTADOR & MONTEVIDEO,-58.3838436638,-34.5876784443
-58.4137299244543,-34.6233342991337,M,100,PB06,ARTERIAS CON CICLOVIAS,LINIERS VIRREY & CALVO CARLOS,-58.4137299245,-34.6233342991
-58.3958052070319,-34.6206285098336,M,100,PB03,ARTERIAS CON CICLOVIAS,RINCON & CALVO CARLOS,-58.3958052070,-34.6206285098
-58.3890509181765,-34.6167347647024,M,100,PB01,ARTERIAS CON CICLOVIAS,CEVALLOS VIRREY & CHILE,-58.3890509182,-34.6167347647
-58.3676848200021,-34.6146385124892,M,100,PB02,ARTERIAS CON CICLOVIAS,AZOPARDO & MEXICO,-58.3676848200,-34.6146385125
-58.3900600789015,-34.5942743238264,M,100,PB52,ARTERIAS CON CICLOVIAS,MONTEVIDEO & ARENALES,-58.3900600789,-34.5942743238
-58.398869029912,-34.5970487232984,M,100,PB54,ARTERIAS CON CICLOVIAS,"URIBURU JOSE E., PRES. & ALVEAR, MARCELO T. DE",-58.3988690299,-34.5970487233
-58.3788432812911,-34.6163591475626,M,100,PB44,ARTERIAS CON CICLOVIAS,TACUARI & CHILE,-58.3788432813,-34.6163591476
-58.4128778761858,-34.592319710361,M,100,PB48,ARTERIAS CON CICLOVIAS,DIAZ CNEL & MANSILLA LUCIO NORBERTO GRAL,-58.4128778762,-34.5923197104
-58.454301033776,-34.5549504617902,M,100,PB49,ARTERIAS CON CICLOVIAS,11 DE SEPTIEMBRE DE 1888 & MONROE,-58.4543010338,-34.5549504618
