centroide,cruce,año,turno,cantidad_ciclistas,tipo_relevamiento
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2013,mañana,19,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2013,tarde,30,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2014,mañana,10,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2014,tarde,17,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2015,mañana,9,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2015,tarde,21,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2016,mañana,35,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2016,tarde,21,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2017,mañana,23,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2017,tarde,16,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2018,mañana,22,macrocentro
520,"RAWSON DE DELLEPIANE, ELVIRA@DEALESSI, PIERINA",2018,tarde,30,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2013,mañana,7,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2013,tarde,32,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2014,mañana,11,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2014,tarde,23,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2015,mañana,11,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2015,tarde,28,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2016,mañana,9,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2016,tarde,7,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2017,mañana,11,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2017,tarde,12,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2018,mañana,8,macrocentro
340,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",2018,tarde,14,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2013,mañana,30,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2013,tarde,33,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2014,mañana,7,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2014,tarde,66,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2015,mañana,8,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2015,tarde,68,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2016,mañana,6,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2016,tarde,46,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2017,mañana,17,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2017,tarde,33,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2018,mañana,19,macrocentro
341,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",2018,tarde,47,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2013,mañana,14,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2013,tarde,28,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2014,mañana,6,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2014,tarde,21,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2015,mañana,5,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2015,tarde,24,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2016,mañana,23,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2016,tarde,21,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2017,mañana,6,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2017,tarde,21,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2018,mañana,10,macrocentro
342,"VERA PENALOZA, ROSARIO@CALABRIA",2018,tarde,19,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2013,mañana,42,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2013,tarde,52,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2014,mañana,34,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2014,tarde,24,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2015,mañana,36,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2015,tarde,24,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2016,mañana,54,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2016,tarde,40,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2017,mañana,33,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2017,tarde,41,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2018,mañana,45,macrocentro
515,"MANSO JUANA@VERA PENALOZA, ROSARIO",2018,tarde,48,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2013,mañana,12,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2013,tarde,35,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2014,mañana,10,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2014,tarde,25,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2015,mañana,29,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2015,tarde,45,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2016,mañana,20,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2016,tarde,26,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2017,mañana,30,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2017,tarde,32,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2018,mañana,64,macrocentro
517,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",2018,tarde,62,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2013,mañana,33,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2013,tarde,45,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2014,mañana,39,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2014,tarde,50,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2015,mañana,39,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2015,tarde,33,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2016,mañana,26,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2016,tarde,20,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2017,mañana,43,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2017,tarde,29,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2018,mañana,73,macrocentro
511,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",2018,tarde,40,macrocentro
512,"MANSO JUANA@VILLAFLOR, AZUCENA",2013,mañana,36,macrocentro
