año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2010,Abril,Virrey Cevallos y Chile,PB1,1004
2010,Abril,Azopar-do y Mexico,PB2,349
2010,Abril,Rincon y Carlos Calvo,PB3,1098
2010,Abril,Virrey Liniers y C.Calvo,PB6,422
2010,Abril,Billin-ghurst y Peron,PB10,1116
2010,Abril,Del Liber-tador y Montevideo,PB11,858
2010,Abril,Corredor Norte y Casares,PB12,808
2010,Abril,EEUU y 33 Orientales,PB32,216
2010,Abril,F. Alcorta y Derecho,PB36,1091
2010,Abril,Montev y Peron,PB37,302
2010,Abril,Cnel. Diaz y Mansilla,PB48,205
2010,Abril,Arenales y Montevideo,PB52,445
2010,Mayo,Virrey Cevallos y Chile,PB1,1043
2010,Mayo,Azopar-do y Mexico,PB2,391
2010,Mayo,Rincon y Carlos Calvo,PB3,923
2010,Mayo,Virrey Liniers y C.Calvo,PB6,545
2010,Mayo,Billin-ghurst y Peron,PB10,986
2010,Mayo,Del Liber-tador y Montevideo,PB11,753
2010,Mayo,Corredor Norte y Casares,PB12,573
2010,Mayo,EEUU y 33 Orientales,PB32,191
2010,Mayo,F. Alcorta y Derecho,PB36,964
2010,Mayo,Montev y Peron,PB37,267
2010,Mayo,Cnel. Diaz y Mansilla,PB48,181
2010,Mayo,Arenales y Montevideo,PB52,393
2010,Junio,Virrey Cevallos y Chile,PB1,898
2010,Junio,Azopar-do y Mexico,PB2,420
2010,Junio,Rincon y Carlos Calvo,PB3,1021
2010,Junio,Virrey Liniers y C.Calvo,PB6,443
2010,Junio,Billin-ghurst y Peron,PB10,877
2010,Junio,Del Liber-tador y Montevideo,PB11,676
2010,Junio,Corredor Norte y Casares,PB12,621
2010,Junio,EEUU y 33 Orientales,PB32,170
2010,Junio,F. Alcorta y Derecho,PB36,856
2010,Junio,Montev y Peron,PB37,237
2010,Junio,Cnel. Diaz y Mansilla,PB48,161
2010,Junio,Arenales y Montevideo,PB52,349
2010,Julio,Virrey Cevallos y Chile,PB1,681
2010,Julio,Azopar-do y Mexico,PB2,379
2010,Julio,Rincon y Carlos Calvo,PB3,883
2010,Julio,Virrey Liniers y C.Calvo,PB6,263
2010,Julio,Billin-ghurst y Peron,PB10,732
2010,Julio,Del Liber-tador y Montevideo,PB11,558
2010,Julio,Corredor Norte y Casares,PB12,622
2010,Julio,EEUU y 33 Orientales,PB32,142
2010,Julio,F. Alcorta y Derecho,PB36,715
2010,Julio,Montev y Peron,PB37,198
2010,Julio,Cnel. Diaz y Mansilla,PB48,135
2010,Julio,Arenales y Montevideo,PB52,292
2010,Agosto,Virrey Cevallos y Chile,PB1,851
2010,Agosto,Azopar-do y Mexico,PB2,354
