centroide,cantidad_ciclistas,X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry
1,3.1,-58.4170868049088,-34.6391083059055,R086,1.0,CASEROS@RAULET,Macrocentro,POINT (-58.4170868049088 -34.6391083059055)
2,8.6,-58.4161635321349,-34.6375044549979,R085,2.0,BOEDO@CHICLANA,Macrocentro,POINT (-58.4161635321349 -34.6375044549979)
4,6.4,-58.4090536702349,-34.6377213300987,R086,4.0,CASEROS@24 DE NOVIEMBRE,Macrocentro,POINT (-58.4090536702349 -34.6377213300987)
5,4.9,-58.4076678329738,-34.6363532040853,R086,5.0,"RONDEAU@URQUIZA, Gral.",Macrocentro,POINT (-58.4076678329738 -34.6363532040853)
7,6.1000000000000005,-58.3989056422123,-34.6359170913522,R061,7.0,CASEROS@JUJUY,Macrocentro,POINT (-58.3989056422123 -34.6359170913522)
10,1.1,-58.4180571374055,-34.6291253106737,R089,10.0,"CASTRO, BARROS@TARIJA",Macrocentro,POINT (-58.4180571374055 -34.6291253106737)
11,4.0,-58.4191078674932,-34.6245972278542,R089,11.0,"CALVO, CARLOS@CASTRO, BARROS",Macrocentro,POINT (-58.4191078674932 -34.6245972278542)
17,4.2,-58.4141665515953,-34.6347154172651,R087,17.0,LAS CASAS@MAZA,Macrocentro,POINT (-58.4141665515953 -34.6347154172651)
18,8.200000000000001,-58.4130310127421,-34.6333344930001,R087,18.0,LINIERS VIRREY@SALCEDO,Macrocentro,POINT (-58.4130310127421 -34.6333344930001)
20,3.1,-58.4159358121056,-34.6278745443861,R089,20.0,BOEDO@CONSTITUCION,Macrocentro,POINT (-58.4159358121056 -34.6278745443861)
24,1.8,-58.4116345266087,-34.6316978761935,R084,24.0,INCLAN@SANCHEZ DE LORIA,Macrocentro,POINT (-58.4116345266087 -34.6316978761935)
27,3.0,-58.4098689533186,-34.6298884024981,R084,27.0,"24DE NOVIEMBRE@GARAY, JUAN DE",Macrocentro,POINT (-58.4098689533186 -34.6298884024981)
